uniprot_id,hpa_gene,ensg,cancer_specificity,cancer_distribution,cancer_specificity_score,max_cancer_ptpm,n_cancers_ptpm_listed,n_prognostic_significant,prognostic_cancers,max_frac_high,max_frac_highmed,n_cancers_highmed_ge50,n_cancers_tested,n_prognostic_fav,n_prognostic_unfav,cancer_high
P16234,PDGFRA,ENSG00000134853,Cancer enhanced,Detected in all,,101.1,1,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.0,0.16666666666666666,0.0,20.0,1.0,1.0,True
Q9UBN6,TNFRSF10D,ENSG00000173530,Low cancer specificity,Detected in all,,0.0,0,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.0,0.0,,,,,False
P22794,EVI2A,ENSG00000126860,Cancer enhanced,Detected in all,,35.9,1,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.25,0.25,0.0,20.0,0.0,2.0,True
Q9NP84,TNFRSF12A,ENSG00000006327,Low cancer specificity,Detected in all,,0.0,0,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.8333333333333334,1.0,13.0,20.0,0.0,2.0,True
Q9Y275,TNFSF13B,ENSG00000102524,Low cancer specificity,Detected in all,,0.0,0,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.25,1.0,15.0,20.0,0.0,1.0,False
Q96BI1,SLC22A18,ENSG00000110628,Low cancer specificity,Detected in all,,0.0,0,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.0,0.0,0.0,20.0,0.0,0.0,False
P00533,EGFR,ENSG00000146648,Cancer enriched,Detected in all,4,324.2,1,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.5,0.9,8.0,20.0,0.0,1.0,True
P17861,XBP1,ENSG00000100219,Cancer enhanced,Detected in all,,1746.0,1,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),0.0,0.0,,,,,True
Q9UEF7,KL,ENSG00000133116,Group enriched,Detected in many,6,28.3,3,13,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Glioblastoma Multiforme (validation);Kidney Chromophobe (TCGA);Kidney Renal Clear Cell Carcinoma (TCGA),0.0,0.0,,,,,True
Q02978,SLC25A11,ENSG00000108528,Low cancer specificity,Detected in all,,0.0,0,31,Bladder Urothelial Carcinoma (TCGA);Breast Invasive Carcinoma (TCGA);Breast Invasive Carcinoma (validation);Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA);Colon Adenocarcinoma (TCGA),1.0,1.0,15.0,20.0,2.0,0.0,True
