uniprot_id,gene,protein_name,length,n_transmem,stratum,mean_plddt,frac_plddt70,n_surface_nuc,pocket_id,pocket_volume,n_tyr_8A,n_cys_8A,n_ser_8A,n_thr_8A,n_lys_8A,n_tyr_10A,n_cys_10A,n_ser_10A,n_thr_10A,n_lys_10A,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,cancer_expression,cancer_high,cancer_specificity,cancer_distribution,max_frac_high,n_prognostic_significant,uniprot_cancer_annotation
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,120,0,S5_peripheral,90.15,0.8333,29.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in many,0.0,18.0,False
A0A087WVF3,TBC1D3D,TBC1 domain family member 3D,549,0,S5_peripheral,59.24,0.439,109.0,1,317.2,0,0,1,0,0,0,0,1,0,2,SER,2.87,53.68,91.0,0.0,False,Low cancer specificity,Detected in many,0.0,12.0,False
A0A0B4J263,TRAV39,T cell receptor alpha variable 39,110,0,S5_peripheral,91.94,0.8909,28.0,1,276.8,1,0,0,1,0,3,0,0,1,0,TYR,4.17,14.87,97.94,0.0,False,Low cancer specificity,Detected in some,0.0,5.0,False
A0A1B0GV85,REELD1,Reelin domain-containing protein 1,526,1,S3_singleTM,58.35,0.3574,128.0,1,1636.9,0,0,0,0,0,0,0,0,1,0,THR,9.93,124.39,38.38,0.0,False,Not detected,Not detected,0.0,1.0,False
A0A1B0GV85,REELD1,Reelin domain-containing protein 1,526,1,S3_singleTM,58.35,0.3574,128.0,2,975.4,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Not detected,Not detected,0.0,1.0,False
A0A1B0GV85,REELD1,Reelin domain-containing protein 1,526,1,S3_singleTM,58.35,0.3574,128.0,3,789.8,0,0,1,2,0,0,0,2,2,0,THR,5.38,135.34,39.06,0.0,False,Not detected,Not detected,0.0,1.0,False
A0A578,TRBV5-1,T cell receptor beta variable 5-1,114,0,S5_peripheral,92.89,0.9649,30.0,1,371.2,2,0,0,1,0,3,1,2,3,0,TYR,3.99,196.71,96.75,0.0,False,Low cancer specificity,Detected in some,0.0,7.0,False
A0A5B9,TRBC2,T cell receptor beta constant 2,178,1,S3_singleTM,94.02,0.9719,41.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in single,0.0,9.0,False
A1A5C7,SLC22A23,Solute carrier family 22 member 23,686,10,S4_multiTM,72.18,0.6429,100.0,1,5869.1,0,0,1,0,0,0,0,1,0,0,SER,6.1,60.48,76.12,0.0,True,Low cancer specificity,Detected in all,0.6363636363636364,31.0,False
A1A5C7,SLC22A23,Solute carrier family 22 member 23,686,10,S4_multiTM,72.18,0.6429,100.0,2,5565.4,0,0,0,0,1,0,0,0,0,1,LYS,5.12,192.68,46.34,0.0,True,Low cancer specificity,Detected in all,0.6363636363636364,31.0,False
A1A5C7,SLC22A23,Solute carrier family 22 member 23,686,10,S4_multiTM,72.18,0.6429,100.0,3,357.8,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in all,0.6363636363636364,31.0,False
A6NJY1,SLC9B1P1,Putative SLC9B1-like protein SLC9B1P1,282,7,S4_multiTM,81.84,0.883,56.0,1,4380.8,0,0,2,1,1,0,0,2,3,1,SER,5.76,45.67,82.44,,False,,,,,False
A6NM10,AQP12B,Putative aquaporin-12B,295,6,S4_multiTM,79.96,0.8068,46.0,1,1154.2,0,1,2,0,0,0,2,3,0,0,SER,6.2,46.13,91.69,2.8,False,Cancer enriched,Detected in single,0.0,2.0,False
A6NM10,AQP12B,Putative aquaporin-12B,295,6,S4_multiTM,79.96,0.8068,46.0,2,340.9,0,0,2,0,0,0,0,3,1,0,SER,6.55,23.01,90.81,2.8,False,Cancer enriched,Detected in single,0.0,2.0,False
A6NM10,AQP12B,Putative aquaporin-12B,295,6,S4_multiTM,79.96,0.8068,46.0,3,249.8,1,0,0,0,0,1,0,0,0,1,TYR,6.93,138.65,67.44,2.8,False,Cancer enriched,Detected in single,0.0,2.0,False
A6NMU1,OR52A4P,Olfactory receptor 52A4,304,7,S4_multiTM,83.15,0.8388,58.0,1,2524.5,1,0,1,0,0,3,0,1,1,0,TYR,6.81,81.49,88.88,,False,,,,,False
A6NMU1,OR52A4P,Olfactory receptor 52A4,304,7,S4_multiTM,83.15,0.8388,58.0,2,462.4,1,0,0,2,1,1,0,0,3,1,TYR,6.4,122.54,87.06,,False,,,,,False
O00501,CLDN5,Claudin-5,218,4,S4_multiTM,83.77,0.8119,45.0,1,310.5,2,0,2,0,2,2,0,3,1,2,TYR,3.62,58.47,86.75,131.6,True,Cancer enriched,Detected in all,0.75,31.0,False
O00501,CLDN5,Claudin-5,218,4,S4_multiTM,83.77,0.8119,45.0,2,212.6,0,1,2,1,1,0,1,2,1,1,CYS,4.68,42.52,69.81,131.6,True,Cancer enriched,Detected in all,0.75,31.0,False
O14493,CLDN4,Claudin-4,209,4,S4_multiTM,84.58,0.8421,38.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in many,1.0,29.0,False
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,317,1,S1_cancer_TM,79.19,0.6751,70.0,1,10246.5,1,0,0,0,0,2,0,0,0,0,TYR,4.75,82.4,98.75,5.2,False,Cancer enhanced,Detected in many,0.1,17.0,True
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,317,1,S1_cancer_TM,79.19,0.6751,70.0,2,327.4,0,0,0,0,0,0,1,1,0,0,SER,8.97,62.56,93.19,5.2,False,Cancer enhanced,Detected in many,0.1,17.0,True
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,317,1,S1_cancer_TM,79.19,0.6751,70.0,3,283.5,0,0,3,0,0,0,0,4,1,0,SER,2.6,64.2,97.62,5.2,False,Cancer enhanced,Detected in many,0.1,17.0,True
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,756,0,S5_peripheral,86.54,0.8571,146.0,1,11188.1,0,0,0,1,0,0,0,0,1,0,THR,4.44,33.09,83.0,0.0,True,Low cancer specificity,Detected in all,0.8181818181818182,31.0,False
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,756,0,S5_peripheral,86.54,0.8571,146.0,2,280.1,0,0,1,0,1,1,0,1,1,1,TYR,8.95,54.35,69.56,0.0,True,Low cancer specificity,Detected in all,0.8181818181818182,31.0,False
