uniprot_id,gene,n_tm,topology_class,best_nuc_resnum,best_nuc_topology,rationale
A0A075B6S6,IGKV2D-30,0,EXTRACELLULAR_FULL,,FULLY_EXTRACELLULAR,No TM helix; Secreted
A0A087WVF3,TBC1D3D,0,INTRACELLULAR,138,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane"
A0A0B4J263,TRAV39,0,INTRACELLULAR,105,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane"
A0A1B0GV85,REELD1,1,EXTRACELLULAR_POCKET,372,EXTRACELLULAR,Best pocket nucleophile at residue 372 lies in a UniProt-annotated Extracellular topological domain
A0A578,TRBV5-1,0,INTRACELLULAR,29,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane"
A0A5B9,TRBC2,1,UNKNOWN,,NO_POCKET_NUCLEOPHILE,No pocket nucleophile identified (BTR-Score 0); trigger residue not localizable
A1A5C7,SLC22A23,10,UNKNOWN,631,NO_TOPOLOGY_ANNOTATION,10 TM helix(es) but no Topological-domain annotation in UniProt
A6NJY1,SLC9B1P1,7,UNKNOWN,23,NO_TOPOLOGY_ANNOTATION,7 TM helix(es) but no Topological-domain annotation in UniProt
A6NM10,AQP12B,6,INTERMEDIATE,196,NOT_IN_ANNOTATED_DOMAIN,"Residue 196 not covered by any annotated topological domain (6 TM, 9 topo domains)"
A6NMU1,OR52A4P,7,EXTRACELLULAR_POCKET,180,EXTRACELLULAR,Best pocket nucleophile at residue 180 lies in a UniProt-annotated Extracellular topological domain
O00501,CLDN5,4,EXTRACELLULAR_POCKET,67,EXTRACELLULAR,Best pocket nucleophile at residue 67 lies in a UniProt-annotated Extracellular topological domain
O14493,CLDN4,4,UNKNOWN,,NO_POCKET_NUCLEOPHILE,No pocket nucleophile identified (BTR-Score 0); trigger residue not localizable
O14788,TNFSF11,1,EXTRACELLULAR_POCKET,215,EXTRACELLULAR,Best pocket nucleophile at residue 215 lies in a UniProt-annotated Extracellular topological domain
O14920,IKBKB,0,INTRACELLULAR,381,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; nucleus; membrane raft"
O15244,SLC22A2,12,INTERMEDIATE,460,TRANSMEMBRANE,Best pocket nucleophile at residue 460 lies inside a TM helix
O15403,SLC16A6,12,INTERMEDIATE,39,TRANSMEMBRANE,Best pocket nucleophile at residue 39 lies inside a TM helix
O15554,KCNN4,6,UNKNOWN,161,NO_TOPOLOGY_ANNOTATION,6 TM helix(es) but no Topological-domain annotation in UniProt
O42043,ERVK-18,1,UNKNOWN,161,NO_TOPOLOGY_ANNOTATION,1 TM helix(es) but no Topological-domain annotation in UniProt
O43463,SUV39H1,0,INTRACELLULAR,297,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: nucleus; chromosome; nucleus lamina; nucleus, nucleoplasm; chromosome, centromere; cytoplasmic vesic"
O43570,CA12,1,EXTRACELLULAR_POCKET,47,EXTRACELLULAR,Best pocket nucleophile at residue 47 lies in a UniProt-annotated Extracellular topological domain
O60637,TSPAN3,4,EXTRACELLULAR_POCKET,126,EXTRACELLULAR,Best pocket nucleophile at residue 126 lies in a UniProt-annotated Extracellular topological domain
O60831,PRAF2,4,INTRACELLULAR_POCKET,155,CYTOPLASMIC,Best pocket nucleophile at residue 155 lies in a Cytoplasmic topological domain
O75030,MITF,0,INTRACELLULAR,516,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: nucleus; cytoplasm; lysosome membrane"
O75038,PLCH2,0,INTRACELLULAR,586,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; cell membrane"
