uniprot_id,gene,protein_name,stratum,mean_plddt,pocket_id,pocket_volume,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,nps,nas,scs,lcs,btr_score,category,cancer_expression,cancer_high,expression_norm,priority_score
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,S5_peripheral,90.15,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
A0A087WVF3,TBC1D3D,TBC1 domain family member 3D,S5_peripheral,59.24,1,317.2,SER,2.87,53.68,91.0,1.0,1.0,1.0,0.7,0.955,high,0.0,False,0.0,0.6685
A0A0B4J263,TRAV39,T cell receptor alpha variable 39,S5_peripheral,91.94,1,276.8,TYR,4.17,14.87,97.94,0.9845,0.2435,1.0,0.9,0.7526,high,0.0,False,0.0,0.5268
A0A1B0GV85,REELD1,Reelin domain-containing protein 1,S3_singleTM,58.35,3,789.8,THR,5.38,135.34,39.06,0.8745,1.0,0.0,0.6,0.6961,medium,0.0,False,0.0,0.4873
A0A578,TRBV5-1,T cell receptor beta variable 5-1,S5_peripheral,92.89,1,371.2,TYR,3.99,196.71,96.75,1.0,1.0,1.0,0.9,0.985,high,0.0,False,0.0,0.6895
A0A5B9,TRBC2,T cell receptor beta constant 2,S3_singleTM,94.02,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
A1A5C7,SLC22A23,Solute carrier family 22 member 23,S4_multiTM,72.18,1,5869.1,SER,6.1,60.48,76.12,0.8091,1.0,0.5,0.49,0.7567,high,0.0,True,0.0,0.5297
A6NJY1,SLC9B1P1,Putative SLC9B1-like protein SLC9B1P1,S4_multiTM,81.84,1,4380.8,SER,5.76,45.67,82.44,0.84,1.0,0.5,0.7,0.799,high,,False,,
A6NM10,AQP12B,Putative aquaporin-12B,S4_multiTM,79.96,1,1154.2,SER,6.2,46.13,91.69,0.8,1.0,1.0,0.49,0.8535,high,2.8,False,0.0016,0.5979
A6NMU1,OR52A4P,Olfactory receptor 52A4,S4_multiTM,83.15,2,462.4,TYR,6.4,122.54,87.06,0.7818,1.0,0.5,0.63,0.7681,high,,False,,
O00501,CLDN5,Claudin-5,S4_multiTM,83.77,1,310.5,TYR,3.62,58.47,86.75,1.0,1.0,0.5,0.9,0.885,high,131.6,True,0.0754,0.6395
O14493,CLDN4,Claudin-4,S4_multiTM,84.58,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,True,0.0,0.0
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,S1_cancer_TM,79.19,1,10246.5,TYR,4.75,82.4,98.75,0.9318,1.0,1.0,0.9,0.9611,high,5.2,False,0.003,0.6737
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,S5_peripheral,86.54,1,11188.1,THR,4.44,33.09,83.0,0.96,1.0,0.5,0.6,0.826,high,0.0,True,0.0,0.5782
O15244,SLC22A2,Solute carrier family 22 member 2,S4_multiTM,83.03,1,5234.6,THR,5.9,70.4,79.75,0.8273,1.0,0.5,0.6,0.7795,high,124.4,True,0.0712,0.5623
O15403,SLC16A6,Monocarboxylate transporter 7,S4_multiTM,76.42,2,280.1,TYR,3.98,51.63,91.94,1.0,1.0,1.0,0.9,0.985,high,21.9,True,0.0125,0.6932
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,S4_multiTM,84.19,1,4826.2,TYR,4.04,65.56,90.25,0.9964,1.0,1.0,0.9,0.9837,high,0.0,False,0.0,0.6886
O42043,ERVK-18,Endogenous retrovirus group K member 18 Env polyprotein,S3_singleTM,73.12,2,1022.6,TYR,6.2,49.23,74.12,0.8,1.0,0.5,0.63,0.7745,high,,False,,
O43463,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,S5_peripheral,88.49,3,556.9,TYR,3.76,59.05,88.44,1.0,1.0,0.5,0.9,0.885,high,0.0,False,0.0,0.6195
O43570,CA12,Carbonic anhydrase 12,S3_singleTM,87.8,1,1069.9,TYR,6.19,50.2,97.19,0.8009,1.0,1.0,0.63,0.8748,high,881.0,True,0.5046,0.7448
O60637,TSPAN3,Tetraspanin-3,S4_multiTM,87.04,2,212.6,TYR,3.84,15.93,86.56,1.0,0.2965,0.5,0.9,0.6739,medium,0.0,True,0.0,0.4718
O60831,PRAF2,PRA1 family protein 2,S4_multiTM,83.74,2,202.5,SER,7.18,46.35,53.81,0.7109,1.0,0.0,0.49,0.6223,medium,0.0,False,0.0,0.4356
O75030,MITF,Microphthalmia-associated transcription factor,S2_cancer_nonTM,60.78,2,374.6,SER,4.06,106.19,47.25,0.9945,1.0,0.0,0.7,0.7531,high,98.6,True,0.0565,0.5399
O75038,PLCH2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",S5_peripheral,61.99,1,2237.6,LYS,4.87,207.93,31.52,0.9209,1.0,0.0,0.5,0.6973,medium,14.8,True,0.0085,0.4899
O75477,ERLIN1,Erlin-1,S3_singleTM,85.19,1,1019.2,TYR,8.54,156.4,62.78,0.5873,1.0,0.0,0.63,0.6,medium,0.0,True,0.0,0.42
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,S5_peripheral,73.6,3,280.1,TYR,4.87,32.47,87.0,0.9209,1.0,0.5,0.9,0.8573,high,5.0,False,0.0029,0.6009
O75964,ATP5MG,"ATP synthase F(0) complex subunit g, mitochondrial",S5_peripheral,90.95,1,1366.9,TYR,9.76,114.96,93.44,0.4764,1.0,1.0,0.63,0.7612,high,0.0,True,0.0,0.5329
O76082,SLC22A5,Organic cation/carnitine transporter 2,S4_multiTM,86.52,2,1944.0,THR,5.27,84.27,91.25,0.8845,1.0,1.0,0.6,0.8996,high,0.0,False,0.0,0.6297
O94850,DDN,Dendrin,S5_peripheral,45.79,2,705.4,SER,3.34,97.94,30.88,1.0,1.0,0.0,0.7,0.755,high,3.7,False,0.0021,0.529
O94898,LRIG2,Leucine-rich repeats and immunoglobulin-like domains protein 2,S3_singleTM,74.48,3,388.1,SER,7.92,39.31,93.62,0.6436,1.0,1.0,0.49,0.7988,high,0.0,False,0.0,0.5591
O95206,PCDH8,Protocadherin-8,S3_singleTM,69.68,1,4434.8,,,,,0.0,0.0,0.0,0.0,0.0,low,3.0,True,0.0017,0.0
O95487,SEC24B,Protein transport protein Sec24B,S5_peripheral,71.43,1,3267.0,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
O95672,ECEL1,Endothelin-converting enzyme-like 1,S3_singleTM,87.78,3,523.1,TYR,4.46,22.03,96.94,0.9582,0.6015,1.0,0.9,0.8508,high,31.4,True,0.018,0.6002
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,S2_cancer_nonTM,81.08,3,509.6,LYS,4.84,101.14,92.44,0.9236,1.0,1.0,0.5,0.8983,high,0.0,False,0.0,0.6288
P00395,MT-CO1,Cytochrome c oxidase subunit 1,S1_cancer_TM,95.77,3,300.4,TYR,4.79,41.14,92.81,0.9282,1.0,1.0,0.9,0.9599,high,0.0,True,0.0,0.6719
P00533,EGFR,Epidermal growth factor receptor,S1_cancer_TM,75.95,1,408.4,SER,3.19,35.79,94.19,1.0,1.0,1.0,0.7,0.955,high,324.2,True,0.1857,0.7217
P01112,HRAS,GTPase HRas,S2_cancer_nonTM,91.95,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
P01737,TRAV8-4,T cell receptor alpha variable 8-4,S5_peripheral,90.62,1,270.0,TYR,4.55,28.45,97.94,0.95,0.9225,1.0,0.9,0.9442,high,0.0,False,0.0,0.661
P01833,PIGR,Polymeric immunoglobulin receptor,S3_singleTM,76.69,2,388.1,THR,4.49,74.26,93.0,0.9555,1.0,1.0,0.6,0.9244,high,881.6,True,0.5049,0.7871
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,S1_cancer_TM,86.7,3,357.8,LYS,5.89,88.03,97.5,0.8282,1.0,1.0,0.5,0.8649,high,0.0,False,0.0,0.6054
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,S1_cancer_TM,73.98,2,688.5,SER,8.48,48.82,93.38,0.5927,1.0,1.0,0.49,0.781,high,0.0,False,0.0,0.5467
P04920,SLC4A2,Anion exchange protein 2,S4_multiTM,65.83,1,1572.8,LYS,7.78,207.17,25.17,0.6564,1.0,0.0,0.35,0.5822,medium,0.0,True,0.0,0.4076
P06241,FYN,Tyrosine-protein kinase Fyn,S2_cancer_nonTM,80.84,2,1839.4,LYS,6.55,79.74,94.31,0.7682,1.0,1.0,0.35,0.8214,high,182.7,True,0.1046,0.6007
P07332,FES,Tyrosine-protein kinase Fes/Fps,S2_cancer_nonTM,89.37,3,475.9,THR,7.07,77.99,97.38,0.7209,1.0,1.0,0.42,0.8153,high,0.0,False,0.0,0.5707
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,S1_cancer_TM,78.79,1,1279.1,SER,9.77,66.69,89.06,0.4755,1.0,0.5,0.49,0.6399,medium,20.0,True,0.0115,0.4501
P08247,SYP,Synaptophysin,S4_multiTM,76.73,3,347.6,TYR,4.1,51.78,97.12,0.9909,1.0,1.0,0.9,0.9818,high,45.8,True,0.0262,0.695
P09038,FGF2,Fibroblast growth factor 2,S5_peripheral,70.27,2,280.1,TYR,8.23,30.5,98.12,0.6155,1.0,1.0,0.63,0.8099,high,0.0,False,0.0,0.5669
P09769,FGR,Tyrosine-protein kinase Fgr,S2_cancer_nonTM,82.18,1,7279.9,TYR,2.22,30.84,97.69,1.0,1.0,1.0,0.9,0.985,high,0.0,False,0.0,0.6895
P10415,BCL2,Apoptosis regulator Bcl-2,S1_cancer_TM,72.02,3,344.2,TYR,7.53,27.61,86.19,0.6791,0.8805,0.5,0.63,0.6963,medium,0.0,True,0.0,0.4874
P11142,HSPA8,Heat shock cognate 71 kDa protein,S5_peripheral,88.3,3,627.8,TYR,3.33,171.99,72.69,1.0,1.0,0.5,0.9,0.885,high,0.0,False,0.0,0.6195
P11802,CDK4,Cyclin-dependent kinase 4,S2_cancer_nonTM,86.81,2,354.4,THR,3.57,36.18,98.62,1.0,1.0,1.0,0.6,0.94,high,998.2,True,0.5717,0.8192
P14770,GP9,Platelet glycoprotein IX,S3_singleTM,84.67,1,1096.9,TYR,4.54,26.06,90.75,0.9509,0.803,1.0,0.9,0.9087,high,0.0,False,0.0,0.6361
P15941,MUC1,Mucin-1,S1_cancer_TM,47.41,2,9868.5,THR,4.66,142.84,36.38,0.94,1.0,0.0,0.6,0.719,high,0.0,True,0.0,0.5033
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,S1_cancer_TM,72.71,2,506.2,TYR,4.0,34.51,89.19,1.0,1.0,0.5,0.9,0.885,high,101.1,True,0.0579,0.6349
P16422,EPCAM,Epithelial cell adhesion molecule,S1_cancer_TM,87.2,3,405.0,SER,5.65,87.7,93.38,0.85,1.0,1.0,0.7,0.9025,high,0.0,True,0.0,0.6317
P16591,FER,Tyrosine-protein kinase Fer,S2_cancer_nonTM,87.94,2,803.2,LYS,5.06,136.83,89.62,0.9036,1.0,0.5,0.5,0.7913,high,0.0,True,0.0,0.5539
P16870,CPE,Carboxypeptidase E,S5_peripheral,90.36,3,442.1,TYR,5.19,45.13,98.0,0.8918,1.0,1.0,0.9,0.9471,high,556.6,True,0.3188,0.7536
P17252,PRKCA,Protein kinase C alpha type,S2_cancer_nonTM,86.38,1,9601.9,LYS,6.64,78.26,93.38,0.76,1.0,1.0,0.35,0.8185,high,0.0,False,0.0,0.573
P17861,XBP1,X-box-binding protein 1,S1_cancer_TM,68.29,2,2055.4,LYS,6.59,154.34,95.5,0.7645,1.0,1.0,0.35,0.8201,high,1746.0,True,1.0,0.8201
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,S5_peripheral,90.66,1,975.4,TYR,4.31,47.17,96.44,0.9718,1.0,1.0,0.9,0.9751,high,0.0,True,0.0,0.6826
