uniprot_id,entry_id,gene,protein_name,length,subcellular_location,ensembl_ids,n_binding_sites,binding_sites,keywords,disease,n_transmem
Q8NHG8,ZNRF2_HUMAN,ZNRF2,E3 ubiquitin-protein ligase ZNRF2,242,Endosome membrane; Lysosome membrane; Presynaptic cell membrane; Cytoplasm;,ENST00000323037.5;ENST00000953272.1;ENST00000953273.1,0,,Cell membrane;Cell projection;Cytoplasm;Endosome;Lipoprotein;Lysosome;Membrane;Metal-binding;Myristate;Phosphoprotein;Proteomics identification;Reference proteome;Synapse;Transferase;Ubl conjugation pathway;Zinc;Zinc-finger,,0
Q9BXF6,RFIP5_HUMAN,RAB11FIP5,Rab11 family-interacting protein 5,653,"Cytoplasm; Recycling endosome membrane; Early endosome membrane; Golgi apparatus membrane; Cytoplasmic vesicle, secretory vesicle membrane; Mitochondrion membrane;",ENST00000258098.6,0,,Cytoplasm;Cytoplasmic vesicle;Endosome;Golgi apparatus;Host-virus interaction;Membrane;Mitochondrion;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport,,0
Q9NZ52,GGA3_HUMAN,GGA3,ADP-ribosylation factor-binding protein GGA3,723,"Golgi apparatus, trans-Golgi network membrane; Endosome membrane; Early endosome membrane; Recycling endosome membrane;",ENST00000537686.6;ENST00000538886.5;ENST00000578348.5;ENST00000582717.5;ENST00000649398.1;ENST00000924703.1,0,,3D-structure;Alternative splicing;Endosome;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport;Ubl conjugation,,0
Q9ULQ1,TPC1_HUMAN,TPCN1,Two pore channel protein 1,816,Lysosome membrane; Endosome membrane; Early endosome membrane; Recycling endosome membrane;,ENST00000335509.11;ENST00000541517.5;ENST00000550785.5;ENST00000879863.1;ENST00000879866.1;ENST00000879869.1;ENST00000971653.1,0,,Alternative splicing;Calcium;Calcium channel;Calcium transport;Coiled coil;Endosome;Glycoprotein;Ion channel;Ion transport;Lysosome;Membrane;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,12
P05177,CP1A2_HUMAN,CYP1A2,Cytochrome P450 1A2,516,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000343932.5;ENST00000872476.1;ENST00000872478.1;ENST00000872479.1,2,226:substrate;458:heme,3D-structure;Direct protein sequencing;Endoplasmic reticulum;Fatty acid metabolism;Glycoprotein;Heme;Iron;Lipid metabolism;Lyase;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Steroid metabolism;Sterol metabolism,,0
P10632,CP2C8_HUMAN,CYP2C8,Cytochrome P450 2C8,490,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000371270.6;ENST00000535898.5,4,100:substrate;204:substrate;241:substrate;435:heme,3D-structure;Alternative splicing;Direct protein sequencing;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;Steroid metabolism,,0
P10635,CP2D6_HUMAN,CYP2D6,Cytochrome P450 2D6,497,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000359033.4;ENST00000612990.2;ENST00000645361.2,2,301:substrate;443:heme,3D-structure;Alternative splicing;Cholesterol metabolism;Endoplasmic reticulum;Fatty acid metabolism;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Steroid metabolism;Sterol metabolism,,0
P20815,CP3A5_HUMAN,CYP3A5,Cytochrome P450 3A5,502,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000222982.8;ENST00000439761.3;ENST00000646887.1,1,441:heme,3D-structure;Alternative splicing;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Steroid metabolism,,0
P50993,AT1A2_HUMAN,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,1020,Membrane; Cell membrane;,ENST00000361216.8,4,374:Mg(2+);376:Mg(2+);714:Mg(2+);718:Mg(2+),ATP-binding;Cell membrane;Disease variant;Epilepsy;Intellectual disability;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Potassium transport;Proteomics identification;Reference proteome;Sodium;Sodium transport;Sodium/potassium transport;Translocase;Transmembrane;Transmembrane helix;Transport,"Migraine, familial hemiplegic, 2; Alternating hemiplegia of childhood 1; Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies; Developmental and epileptic encephalopathy 98;",10
Q02928,CP4AB_HUMAN,CYP4A11,Cytochrome P450 4A11,519,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000310638.9,2,321:heme;457:heme,Alternative splicing;Direct protein sequencing;Endoplasmic reticulum;Fatty acid metabolism;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;NADP;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome,,0
Q16696,CP2AD_HUMAN,CYP2A13,Cytochrome P450 2A13,494,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000330436.4,2,297:substrate;439:heme,3D-structure;Endoplasmic reticulum;Heme;Iron;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,,0
