uniprot_id,gene,protein_name,btr_score,category,nps,nas,scs,lcs,cancer_expression,cancer_high,priority_score,rank,topology_class,best_nuc_resnum,best_nuc_topology
P01833,PIGR,Polymeric immunoglobulin receptor,0.9244,high,0.9555,1.0,1.0,0.6,881.6,True,0.7871,1,EXTRACELLULAR_POCKET,471.0,EXTRACELLULAR
P16870,CPE,Carboxypeptidase E,0.9471,high,0.8918,1.0,1.0,0.9,556.6,True,0.7536,2,EXTRACELLULAR_FULL,357.0,FULLY_EXTRACELLULAR
O43570,CA12,Carbonic anhydrase 12,0.8748,high,0.8009,1.0,1.0,0.63,881.0,True,0.7448,3,EXTRACELLULAR_POCKET,47.0,EXTRACELLULAR
P00533,EGFR,Epidermal growth factor receptor,0.955,high,1.0,1.0,1.0,0.7,324.2,True,0.7217,4,EXTRACELLULAR_POCKET,161.0,EXTRACELLULAR
Q9P126,CLEC1B,C-type lectin domain family 1 member B,0.985,high,1.0,1.0,1.0,0.9,0.0,False,0.6895,5,EXTRACELLULAR_POCKET,109.0,EXTRACELLULAR
P54826,GAS1,Growth arrest-specific protein 1,0.9659,high,0.9455,1.0,1.0,0.9,37.9,True,0.6824,6,EXTRACELLULAR_FULL,65.0,FULLY_EXTRACELLULAR
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,0.9611,high,0.9318,1.0,1.0,0.9,5.2,False,0.6737,7,EXTRACELLULAR_POCKET,215.0,EXTRACELLULAR
Q14626,IL11RA,Interleukin-11 receptor subunit alpha,0.9595,high,0.9273,1.0,1.0,0.9,0.0,False,0.6717,8,EXTRACELLULAR_POCKET,242.0,EXTRACELLULAR
Q13477,MADCAM1,Mucosal addressin cell adhesion molecule 1,0.955,high,1.0,1.0,1.0,0.7,4.9,False,0.6693,9,EXTRACELLULAR_POCKET,57.0,EXTRACELLULAR
Q9H0U3,MAGT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,0.94,high,1.0,1.0,1.0,0.6,0.0,True,0.658,10,EXTRACELLULAR_POCKET,153.0,EXTRACELLULAR
Q9HCC8,GDPD2,Glycerophosphodiester phosphodiesterase 3,0.912,high,0.9627,1.0,1.0,0.5,18.4,True,0.6413,11,EXTRACELLULAR_POCKET,452.0,EXTRACELLULAR
Q9UBN6,TNFRSF10D,Tumor necrosis factor receptor superfamily member 10D,0.9142,high,0.9264,1.0,1.0,0.6,0.0,False,0.64,12,EXTRACELLULAR_POCKET,157.0,EXTRACELLULAR
O00501,CLDN5,Claudin-5,0.885,high,1.0,1.0,0.5,0.9,131.6,True,0.6395,13,EXTRACELLULAR_POCKET,67.0,EXTRACELLULAR
P14770,GP9,Platelet glycoprotein IX,0.9087,high,0.9509,0.803,1.0,0.9,0.0,False,0.6361,14,EXTRACELLULAR_POCKET,95.0,EXTRACELLULAR
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,0.885,high,1.0,1.0,0.5,0.9,101.1,True,0.6349,15,EXTRACELLULAR_POCKET,273.0,EXTRACELLULAR
P16422,EPCAM,Epithelial cell adhesion molecule,0.9025,high,0.85,1.0,1.0,0.7,0.0,True,0.6317,16,EXTRACELLULAR_POCKET,102.0,EXTRACELLULAR
O76082,SLC22A5,Organic cation/carnitine transporter 2,0.8996,high,0.8845,1.0,1.0,0.6,0.0,False,0.6297,17,EXTRACELLULAR_POCKET,45.0,EXTRACELLULAR
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,0.8983,high,0.9236,1.0,1.0,0.5,0.0,False,0.6288,18,EXTRACELLULAR_FULL,838.0,FULLY_EXTRACELLULAR
Q02846,GUCY2D,Retinal guanylyl cyclase 1,0.8968,high,0.8336,1.0,1.0,0.7,0.0,False,0.6277,19,EXTRACELLULAR_POCKET,116.0,EXTRACELLULAR
Q9Y6M5,SLC30A1,Proton-coupled zinc antiporter SLC30A1,0.8968,high,0.8336,1.0,1.0,0.7,0.0,False,0.6277,20,EXTRACELLULAR_POCKET,33.0,EXTRACELLULAR
Q9HBX8,LGR6,Leucine-rich repeat-containing G protein-coupled receptor 6,0.8767,high,0.8064,1.0,1.0,0.63,27.1,True,0.6178,21,EXTRACELLULAR_POCKET,70.0,EXTRACELLULAR
Q9H4D0,CLSTN2,Calsyntenin-2,0.8717,high,0.9191,1.0,0.5,1.0,23.9,True,0.6138,22,EXTRACELLULAR_POCKET,615.0,EXTRACELLULAR
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,0.8649,high,0.8282,1.0,1.0,0.5,0.0,False,0.6054,23,EXTRACELLULAR_POCKET,217.0,EXTRACELLULAR
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,0.8459,high,0.7182,1.0,1.0,0.63,0.0,False,0.5921,24,EXTRACELLULAR_POCKET,119.0,EXTRACELLULAR
Q8NGP3,OR5M9,Olfactory receptor 5M9,0.844,high,0.8827,1.0,0.5,0.9,0.0,False,0.5908,25,EXTRACELLULAR_POCKET,165.0,EXTRACELLULAR
P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,0.842,high,0.7073,1.0,1.0,0.63,0.0,False,0.5894,26,EXTRACELLULAR_POCKET,145.0,EXTRACELLULAR
Q7LC44,ARC,Activity-regulated cytoskeleton-associated protein,0.825,high,1.0,1.0,0.5,0.5,59.7,True,0.586,27,EXTRACELLULAR_FULL,334.0,FULLY_EXTRACELLULAR
Q9Y5Y6,ST14,Suppressor of tumorigenicity 14 protein,0.8334,high,0.9091,0.934,0.5,0.9,0.0,False,0.5834,28,EXTRACELLULAR_POCKET,572.0,EXTRACELLULAR
Q9UEF7,KL,Klotho,0.8268,high,0.6636,1.0,1.0,0.63,28.3,True,0.5828,29,EXTRACELLULAR_POCKET,889.0,EXTRACELLULAR
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,0.8314,high,0.9755,1.0,0.5,0.6,0.0,False,0.582,30,EXTRACELLULAR_POCKET,241.0,EXTRACELLULAR
