pdb_id,resolution,ligand_id,ligand_heavy_atoms,ligand_chain,family,n_chains,structure_format,has_TYR_5A,has_TYR_8A,has_TYR_10A,has_TYR_12A,has_TYR_15A,has_CYS_5A,has_CYS_8A,has_CYS_10A,has_CYS_12A,has_CYS_15A,has_SER_5A,has_SER_8A,has_SER_10A,has_SER_12A,has_SER_15A,has_THR_5A,has_THR_8A,has_THR_10A,has_THR_12A,has_THR_15A,has_LYS_5A,has_LYS_8A,has_LYS_10A,has_LYS_12A,has_LYS_15A,has_ANY_5A,has_ANY_8A,has_ANY_10A,has_ANY_12A,has_ANY_15A,count_TYR_5A,count_TYR_8A,count_TYR_10A,count_TYR_12A,count_TYR_15A,count_CYS_5A,count_CYS_8A,count_CYS_10A,count_CYS_12A,count_CYS_15A,count_SER_5A,count_SER_8A,count_SER_10A,count_SER_12A,count_SER_15A,count_THR_5A,count_THR_8A,count_THR_10A,count_THR_12A,count_THR_15A,count_LYS_5A,count_LYS_8A,count_LYS_10A,count_LYS_12A,count_LYS_15A,min_TYR_dist,min_CYS_dist,min_SER_dist,min_THR_dist,min_LYS_dist,tyr_pocket_sasa,n_tyr_pocket_10A,sasa_computed
9SE9,1.97,A1JNH,25,A,Transferase(other),4,cif,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,0,1,1,3,5,0,1,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,2,3,4,5.512184143066406,5.1261091232299805,9.700065612792969,17.13056755065918,8.929977416992188,24.324941113163614,1,True
13UF,1.59,BZ3,11,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,1,3,3,0,0,0,2,2,17.805444717407227,,5.518502712249756,8.713508605957031,11.624468803405762,,0,False
14WB,2.44,TE8,18,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,1,2,2,4,0,0,1,1,1,20.59900665283203,12.573554039001465,7.510841846466064,7.512804985046387,8.79370403289795,,0,False
9ZTB,1.67,SVR,86,A,Hydrolase(other),2,pdb,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1,1,3,0,1,2,2,3,0,0,0,0,2,0,0,1,1,3,1,1,3,4,6,7.256112098693848,5.809748649597168,14.779239654541016,9.975190162658691,3.7326133251190186,50.168046279221606,1,True
22VH,2.5,CYC,43,A,Other,12,pdb,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,1,1,2,5,6,0,1,1,1,2,0,1,2,4,7,0,0,1,5,7,1,1,2,2,2,4.08976411819458,5.830070495605469,7.892405986785889,9.583032608032228,4.784508228302002,26.201778221538937,2,True
9LZS,1.83,ZQB,32,A,Protease,2,pdb,False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,3,5,0,1,1,1,3,0,0,1,4,8,0,0,0,1,4,0,0,0,0,1,10.493024826049805,5.626235008239746,8.675440788269043,11.331568717956545,14.042494773864746,,0,False
26RC,2.88,ANP,31,A,Transferase(other),6,pdb,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,0,0,0,0,1,0,0,0,0,0,0,2,4,5,9,0,3,6,6,12,0,3,3,5,5,14.710370063781738,,7.48439359664917,5.3424177169799805,5.010689735412598,,0,False
7IMC,1.54,BP4,16,A,Other,1,pdb,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,8.769540786743164,,19.18157958984375,13.942781448364258,6.886697292327881,11.11878088720711,1,True
13UT,1.62,LVF,13,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,1,2,5,0,0,2,2,4,16.928247451782227,,9.872152328491213,6.5139923095703125,9.173224449157717,,0,False
13UP,1.47,A1C1K,15,B,Other,2,cif,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,3,4,6,0,0,1,3,4,14.88306999206543,,10.410390853881836,7.755763530731201,9.403581619262695,,0,False
